,Candidate,Instrument,Pipeline,Min_Date,Min_MJD,ra,dec,Max_Mag
118,DC22ioopk,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.171643210648256,-5.8444256529378,21.65
119,DC22ioopr,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,36.11522612788185,-5.781657177153739,22.09
120,DC22iooqf,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.946684246909555,-6.170167757930347,22.99
121,DC22iooql,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.75445439152856,-6.342100223495249,22.82
122,DC22iooqp,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.84156454579996,-6.317261831292752,22.73
123,DC22iooqx,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.60125803603861,-5.719424709961044,21.99
124,DC22ioorb,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.597570327265295,-5.648240053007262,21.84
125,DC22ioosp,DECam,DECAT_RK,2022-10-02T06:14:24.000,59854.26,34.794074296140344,-5.854114833323715,21.07
126,DC22iooug,DECam,DECAT_RK,2022-10-02T06:14:24.000,59854.26,34.88791598385858,-4.488078418608846,21.54
127,DC22iooyu,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,36.18912995952978,-6.932451684693947,22.9
128,DC22ioozx,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.32755435344664,-6.939670479711604,21.29
129,DC22iopbb,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,34.60595697082372,-6.523675498727407,22.41
130,DC22iopbj,DECam,DECAT_RK,2022-10-06T05:15:21.600,59858.219,35.47586992915464,-6.328235439044025,20.31
131,DC22iopdh,DECam,DECAT_RK,2022-10-02T06:14:24.000,59854.26,35.10035734160361,-4.952687542953007,21.74
132,DC22iopeb,DECam,DECAT_RK,2022-10-02T06:17:16.800,59854.262,35.10320857483533,-5.042068944757453,21.45
133,DC22iopfn,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.84477314950747,-6.5375111341368495,23.74
134,DC22iopkv,DECam,DECAT_RK,2022-10-02T06:17:16.800,59854.262,33.99013675686337,-4.836001343572781,21.87
135,DC22iopln,DECam,DECAT_RK,2022-10-02T06:20:09.600,59854.264,34.60581832322327,-4.375766467027572,23.08
136,DC22iopmn,DECam,DECAT_RK,2022-10-02T06:14:24.000,59854.26,33.75094910937382,-4.502103876622819,20.51
137,DC22iopnb,DECam,DECAT_RK,2022-10-23T05:48:28.800,59875.242,36.33756584543051,-6.485680719208849,22.22
138,DC22iopoi,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.84046301594219,-5.723938526692707,22.44
139,DC22ioppe,DECam,DECAT_RK,2022-10-06T05:21:07.200,59858.223,36.38607629891219,-6.536291509252289,22.68
140,DC22ioppo,DECam,DECAT_RK,2022-10-02T06:17:16.800,59854.262,34.33106336302998,-5.384831449168624,20.94
141,DC22ioppt,DECam,DECAT_RK,2022-10-06T05:15:21.600,59858.219,36.13634989340005,-6.645111923401532,19.71
142,DC22iopre,DECam,DECAT_RK,2022-10-02T06:23:02.400,59854.266,34.92934949043193,-6.687100995767523,22.76
143,DC22iopsc,DECam,DECAT_RK,2022-10-08T04:36:28.800,59860.192,35.81255890103524,-6.324556350387538,21.21
144,DC22iopsl,DECam,DECAT_RK,2022-10-02T06:17:16.800,59854.262,34.29285079663703,-4.195254479952471,21.47
145,DC22iopsn,DECam,DECAT_RK,2022-10-02T06:14:24.000,59854.26,34.128663575546476,-4.347643339751164,20.67
146,DC22ioptt,DECam,DECAT_RK,2022-10-02T06:17:16.800,59854.262,34.53484814221755,-5.46771400509801,22.3
147,DC22iopvn,DECam,DECAT_RK,2022-10-02T06:14:24.000,59854.26,34.55808950346715,-4.878088970136299,22.51
148,DC22iopwe,DECam,DECAT_RK,2022-10-06T05:29:45.600,59858.229,36.799187325095886,-4.843901808543005,21.93
149,DC22iopwg,DECam,DECAT_RK,2022-10-02T06:17:16.800,59854.262,34.613521754225644,-4.915747169422467,20.6
150,DC22iopwt,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,37.14628704807915,-4.194304951892823,22.17
151,DC22iopxh,DECam,DECAT_RK,2022-10-06T05:29:45.600,59858.229,36.570474625533535,-5.364692728995341,22.04
152,DC22iopxl,DECam,DECAT_RK,2022-10-06T05:25:26.400,59858.226,36.89893249033509,-4.3077512277930525,22.16
153,DC22iopxt,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,37.11623269608378,-5.044600752574151,22.19
154,DC22iopyn,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,36.61417486564352,-4.953006006456047,22.39
155,DC22iopys,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.93269173179215,-6.293969852543475,23.41
156,DC22iopze,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,37.27244036770421,-4.708497719072545,22.04
157,DC22iopzh,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,36.975381526645215,-4.4047715819187365,22.96
158,DC22iopzz,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,36.060928866499765,-5.247176198373031,22.7
159,DC22ioqbt,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,37.10051230694967,-4.885557513129622,22.64
160,DC22ioqcd,DECam,DECAT_RK,2022-10-06T05:25:26.400,59858.226,36.936152583133506,-4.1530733386733525,21.49
161,DC22ioqcp,DECam,DECAT_RK,2022-10-06T05:31:12.000,59858.23,36.20121838322258,-5.350031680319256,22.41
162,DC22ioqcy,DECam,DECAT_RK,2022-10-06T05:25:26.400,59858.226,37.38141593953603,-4.7492472062262445,21.12
163,DC22ioqdo,DECam,DECAT_RK,2022-10-06T05:32:38.400,59858.231,37.10112264658136,-4.860361549782923,22.51
164,DC22ioqdx,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,36.2208677096652,-5.32890556652679,22.92
165,DC22ioqeb,DECam,DECAT_RK,2022-10-02T06:14:24.000,59854.26,33.80947325934166,-5.555934479112614,21.63
166,DC22ioqfv,DECam,DECAT_RK,2022-10-02T06:17:16.800,59854.262,34.844383212862375,-4.6826681681826905,22.86
167,DC22ioqgh,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,36.153785326137,-4.785922668987165,22.56
168,DC22ioqhq,DECam,DECAT_RK,2022-10-06T05:25:26.400,59858.226,36.7831000407392,-5.566274027291562,22.04
169,DC22ioqij,DECam,DECAT_RK,2022-10-08T04:40:48.000,59860.195,37.008984910404244,-4.136239744032553,22.01
170,DC22ioqiy,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,37.166601642670386,-4.8021120917928615,22.28
171,DC22ioqjz,DECam,DECAT_RK,2022-10-06T05:25:26.400,59858.226,36.5269846327962,-3.823258917370061,22.04
172,DC22ioqkp,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,35.87561783292064,-4.501147352333688,22.59
173,DC22ioqlc,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,36.37858959701009,-5.180634047979236,22.68
174,DC22ioqlh,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,36.692729546156215,-4.865408388364526,22.08
175,DC22ioqmg,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,36.63696009862499,-4.405918963674475,22.38
176,DC22ioqmu,DECam,DECAT_RK,2022-10-06T05:25:26.400,59858.226,36.38431168000472,-5.218219886711797,22.38
177,DC22ioqol,DECam,DECAT_RK,2022-10-06T05:29:45.600,59858.229,36.320304445675866,-4.207834343628261,22.65
178,DC22ioqoo,DECam,DECAT_RK,2022-10-06T05:25:26.400,59858.226,36.12131640267659,-4.968804676552633,21.59
179,DC22ioqqz,DECam,DECAT_RK,2022-10-06T05:25:26.400,59858.226,36.33650563233272,-4.212986386752692,22.04
180,DC22ioqrd,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,36.08733056118195,-4.9635704267084915,22.47
181,DC22ioqrt,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,36.51711781758283,-4.6651997802307585,22.75
182,DC22ioqsm,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,36.44567836628616,-5.245257124073281,22.83
183,DC22ioqsq,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,35.94177719168938,-5.215000777920083,22.86
184,DC22ioqud,DECam,DECAT_RK,2022-10-06T05:25:26.400,59858.226,36.828549928311624,-4.526120893749926,21.74
185,DC22ioquo,DECam,DECAT_RK,2022-10-02T06:14:24.000,59854.26,35.25048878221911,-4.4820271826655995,21.85
186,DC22ioqvt,DECam,DECAT_RK,2022-10-02T06:14:24.000,59854.26,35.023176433962966,-5.157976634031237,21.29
187,DC22ioqwy,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,34.9393466043525,-6.355726790248904,21.49
188,DC22ioqxc,DECam,DECAT_RK,2022-10-06T05:15:21.600,59858.219,35.06243724920518,-6.3814284515380075,21.95
189,DC22ioqyn,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.40519410688944,-5.941259452096251,22.18
190,DC22ioqyx,DECam,DECAT_RK,2022-10-06T05:15:21.600,59858.219,35.31615757420474,-6.371546523075006,20.3
191,DC22iordp,DECam,DECAT_RK,2022-10-06T05:21:07.200,59858.223,36.280964956045445,-6.386535911462037,20.14
192,DC22ioree,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,34.91635763827201,-6.23532571075933,21.3
193,DC22iorfs,DECam,DECAT_RK,2022-10-06T05:24:00.000,59858.225,36.50445870001484,-6.892535895883615,21.91
194,DC22iorgi,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.67666379380875,-6.4488861864758285,22.43
195,DC22iorgj,DECam,DECAT_RK,2022-10-06T05:21:07.200,59858.223,35.095256357925926,-6.561992315050082,20.11
196,DC22iorhk,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,36.35987353938405,-6.3157941820901575,23.24
197,DC22iorjq,DECam,DECAT_RK,2022-10-06T05:15:21.600,59858.219,35.39313150188945,-6.494938588489083,21.28
198,DC22iorkx,DECam,DECAT_RK,2022-10-06T05:21:07.200,59858.223,35.602965084416866,-5.817559077155913,22.01
199,DC22iornf,DECam,DECAT_RK,2022-10-06T05:15:21.600,59858.219,34.7756201205721,-6.500293238998746,20.35
200,DC22iorpj,DECam,DECAT_RK,2022-10-06T05:21:07.200,59858.223,35.86490508574112,-5.5527426095210375,20.13
201,DC22iorrq,DECam,DECAT_RK,2022-10-06T05:29:45.600,59858.229,35.623357080788615,-4.828334743887909,22.62
202,DC22iorsb,DECam,DECAT_RK,2022-10-06T05:31:12.000,59858.23,36.95197157027709,-4.915650193069348,23.12
203,DC22ioruj,DECam,DECAT_RK,2022-10-23T06:01:26.400,59875.251,36.698823002626575,-4.241925634578836,22.54
204,DC22iorvu,DECam,DECAT_RK,2022-10-06T05:25:26.400,59858.226,36.63256037856296,-4.857659067043931,21.5
205,DC22iorxx,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,36.09459293611475,-6.432435822655418,22.73
206,DC22iorym,DECam,DECAT_RK,2022-10-06T05:31:12.000,59858.23,35.87199759760834,-4.914414520859828,21.67
207,DC22iosac,DECam,DECAT_RK,2022-10-23T06:01:26.400,59875.251,35.95537838377013,-5.29640091593505,22.76
208,DC22iosal,DECam,DECAT_RK,2022-10-06T05:15:21.600,59858.219,35.697392908772116,-6.173490832908962,19.31
209,DC22iosdn,DECam,DECAT_RK,2022-10-06T05:29:45.600,59858.229,37.181350881922555,-4.207247221529965,21.9
210,DC22iosdv,DECam,DECAT_RK,2022-10-06T05:29:45.600,59858.229,36.588834785835125,-3.7390877189303917,22.32
211,DC22ioshv,DECam,DECAT_RK,2022-10-06T05:25:26.400,59858.226,36.84915588429423,-4.037473226084981,21.28
212,DC22iosin,DECam,DECAT_RK,2022-10-06T05:26:52.800,59858.227,36.920753339047934,-3.8821595118674304,21.11
213,DC22iosmb,DECam,DECAT_RK,2022-10-06T05:25:26.400,59858.226,35.73285093632835,-5.231016600063038,20.99
214,DC22iosqu,DECam,DECAT_RK,2022-10-08T04:40:48.000,59860.195,36.903992098541664,-4.959331799235738,20.84
215,DC22iosyw,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.310541380260574,-4.005864250871529,21.95
216,DC22iouop,DECam,DECAT_RK,2022-10-02T06:15:50.400,59854.261,35.03637181710226,-4.984827207782205,22.26
217,DC22iouwn,DECam,DECAT_RK,2022-10-02T06:17:16.800,59854.262,33.41724217458338,-5.030386230935929,19.57
218,DC22iovfa,DECam,DECAT_RK,2022-10-06T05:16:48.000,59858.22,36.25756260836602,-6.469232173362814,21.35
219,DC22iovsu,DECam,DECAT_RK,2022-10-06T05:16:48.000,59858.22,35.702709118937236,-5.881232253734065,21.56
220,DC22iowku,DECam,DECAT_RK,2022-10-06T05:21:07.200,59858.223,35.64768802978607,-5.782488922403327,21.63
221,DC22ioxed,DECam,DECAT_RK,2022-10-06T05:25:26.400,59858.226,36.53231604992063,-4.311984453512455,21.72
222,DC22ioxrf,DECam,DECAT_RK,2022-10-06T05:21:07.200,59858.223,36.055832754828415,-5.456906241598145,21.9
223,DC22ipald,DECam,DECAT_RK,2022-10-06T05:15:21.600,59858.219,35.81047706745726,-6.003671009186702,20.58
224,DC22ipcpy,DECam,DECAT_RK,2022-10-06T05:25:26.400,59858.226,37.11744130405378,-4.01232230014685,19.6
225,DC22ipemi,DECam,DECAT_RK,2022-10-06T05:06:43.200,59858.213,35.3522068857597,-5.034807628121008,21.41
226,DC22ipezr,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.798988177435405,-4.474553541211533,21.68
227,DC22ipfqi,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,33.62204156000811,-5.2957382357212115,22.09
228,DC22ipiyx,DECam,DECAT_RK,2022-10-06T05:21:07.200,59858.223,35.61777043336422,-6.096582363181128,21.21
229,DC22iplow,DECam,DECAT_RK,2022-10-06T05:05:16.800,59858.212,34.32734019609187,-5.044393183783273,21.82
230,DC22ipodk,DECam,DECAT_RK,2022-10-02T06:23:02.400,59854.266,35.38970218920211,-5.763527384308617,21.52
231,DC22ipoyi,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.12960086920804,-6.422047509337224,22.5
232,DC22ippfj,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.88423018679756,-5.764088979428174,22.11
233,DC22ipqfu,DECam,DECAT_RK,2022-10-06T05:25:26.400,59858.226,36.87180787179069,-4.54108679426339,22.23
234,DC22ipqsx,DECam,DECAT_RK,2022-10-06T05:29:45.600,59858.229,36.71882726260825,-5.10559667360972,21.22
235,DC22ipsmu,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.93032535376616,-5.435523083054954,22.46
