tns_name,objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host,z_type.pseudo_host,z_source.pseudo_host
AT2022acdq,C202210060223125m045817,02:23:12.566 -04:58:17.757,35.80235965488875,-4.971599175038742,35.80239380913914,-4.971643085557878,21,2022-10-06T05:32:39.469,22.055873993784214,i,2022-10-06T05:32:39.469,22.055873993784214,i,2022-12-28T01:52:10.313,23.038852006188907,r,0357m050_6582,35.80260164651994,-4.971537074102427,19.106734097003937,18.075628578662872,17.29460895061493,0.149849995970726,nan,spec,GAMA-DR3
AT2022acdr,T202210230221029m064136,02:21:02.993 -06:41:36.220,35.26247483802707,-6.693394611760907,35.26243347645023,-6.693373920462393,17,2022-10-23T05:48:41.747,22.905176821617477,g,2022-10-23T05:52:10.380,22.031006211966933,r,2022-11-25T04:51:07.413,22.849546865764687,i,0353m067_2369,35.26245133532004,-6.693063444500836,19.978244602680206,19.67377632856369,19.518472254276276,0.06702999770641327,nan,spec,GAMA-DR3
AT2022accm,T202211190221071m050045,02:21:07.117 -05:00:45.403,35.27965581234018,-5.01261211009599,35.27965140454457,-5.01259990518634,52,2022-11-19T04:34:03.629,22.544932137316472,g,2022-11-25T04:38:38.266,21.40346741134584,r,2022-12-28T01:34:09.344,22.05113439582418,i,0352m050_6156,35.27944424523591,-5.012416333337783,20.727178305387497,19.35765504837036,18.593117892742157,0.29142001271247864,nan,spec,GAMA-DR3
AT2022acds,T202210230226203m042345,02:26:20.343 -04:23:45.366,36.5847639291076,-4.395935115076212,36.58477919984104,-4.395957873393668,20,2022-10-23T05:57:47.992,22.781495382948858,g,2022-10-23T06:03:04.694,22.015575897459588,r,2022-11-22T05:03:34.629,23.072909184915382,i,0364m045_7916,36.58438729074562,-4.396242023491539,21.353595703840256,20.065476447343826,19.222590625286102,0.3662000000476837,nan,spec,GAMA-DR3
AT2022acdt,T202211100223029m045212,02:23:02.918 -04:52:12.728,35.76216213211998,-4.870202256570673,35.76209346882169,-4.870242476937758,25,2022-11-10T03:50:15.842,22.39814391271794,g,2022-11-25T05:02:06.944,22.04545953403923,i,2022-11-25T05:04:06.800,22.22424566636453,i,0357m047_5659,35.76195472751554,-4.870774283808737,20.89726895093918,19.905583262443542,19.250798225402832,0.21952000260353088,nan,spec,GAMA-DR3
AT2022acdu,T202210020223217m054326,02:23:21.713 -05:43:26.052,35.84047122001363,-5.723903425711652,35.84046461649234,-5.723954238441987,26,2022-10-02T06:21:45.641,22.201204862052656,g,2022-10-02T06:30:37.637,21.417922153349146,i,2022-11-22T04:54:42.951,22.81322543123525,i,0357m057_6455,35.8401332471261,-5.723981295017589,21.66075199842453,20.63832774758339,20.02411961555481,nan,nan,NONE,NONE
AT2022acdv,C202210230219382m060400,02:19:38.212 -06:04:00.821,34.90922024498226,-6.066894900218344,34.90899808083179,-6.066798594042952,61,2022-10-23T05:46:51.809,22.844676695370858,g,2022-10-23T05:50:31.624,20.053909668055447,r,2022-12-28T01:44:58.195,22.461058733559632,i,0350m060_537,34.90911031083645,-6.066835584224505,19.691967368125916,19.649988412857056,19.232601821422577,nan,nan,NONE,NONE
AT2022acdw,C202210020226558m042802,02:26:55.871 -04:28:02.876,36.73279967866016,-4.46746576816043,36.73273017076984,-4.467401603514062,28,2022-10-23T05:57:47.992,23.14043473441927,g,2022-10-23T06:03:04.694,21.9362906727882,r,2022-11-25T05:04:06.800,22.68237425664406,i,0367m045_4912,36.73306089866904,-4.467574858074129,23.69356967508793,22.59874815121293,21.39338970184326,nan,nan,NONE,NONE
AT2022acdx,C202210020220109m062222,02:20:10.955 -06:22:22.394,35.04564905662958,-6.372887330800787,35.0456702098349,-6.372887983419548,36,2022-10-02T06:21:45.641,21.762056270488905,g,2022-10-08T04:33:38.779,21.448129373322416,r,2022-12-22T02:23:17.623,22.30539022092983,i,0350m062_3239,35.045679697899,-6.372767552485882,19.80598211288452,19.371658861637115,19.048417806625366,0.1397400051355362,nan,spec,GAMA-DR3
AT2022acdy,C202210230224028m065211,02:24:02.857 -06:52:11.046,36.01190565332805,-6.869735018958073,36.01190565332805,-6.869735018958073,39,2022-10-23T05:46:51.809,21.35005852178879,g,2022-10-29T05:33:52.414,21.120139624131745,i,2022-12-22T02:21:18.773,22.867512368451912,i,0360m067_2150,36.01210251883141,-6.869731786900454,20.112147480249405,19.539588689804077,19.26086664199829,nan,nan,NONE,NONE
AT2022acdz,A202210060220313m055234,02:20:31.390 -05:52:34.028,35.13079302149654,-5.87611901071893,35.13074713096037,-5.876145743220079,77,2022-10-06T05:20:01.927,22.26710678563752,r,2022-12-28T01:36:07.233,21.508252039067802,g,2022-12-28T01:44:58.195,21.66353726292572,i,0350m060_9395,35.13075444534794,-5.876137591400314,20.396725088357925,20.328826308250427,19.951919317245483,nan,nan,NONE,NONE
AT2022acea,C202210020224453m035509,02:24:45.366 -03:55:09.090,36.18902880232308,-3.919191754828856,36.18900580459172,-3.919226689663495,75,2022-10-02T06:32:35.895,22.40087336658373,g,2022-11-10T03:50:15.842,21.02763289655841,g,2022-12-28T01:55:47.197,22.990463095559676,i,0361m040_5065,36.18893489544626,-3.919313275925011,19.123632311820984,19.0098437666893,18.909752666950226,0.6063500046730042,nan,spec,GAMA-DR3
AT2022aceb,C202210290228461m043839,02:28:46.188 -04:38:39.348,37.19245001825431,-4.644263390880055,37.19245074060559,-4.6442252337403,74,2022-10-29T05:37:49.417,22.46353977444518,g,2022-11-10T03:52:04.412,20.59665829833274,g,2022-12-28T01:55:47.197,22.069532852905535,i,0372m047_3056,37.19257752846941,-4.644354419326261,23.732625395059586,23.022370003163815,22.50493503350299,nan,nan,NONE,NONE
AT2022acec,T202210020216474m042506,02:16:47.485 -04:25:06.569,34.19785545268108,-4.418491615086286,34.1978545195422,-4.418502530867022,49,2022-10-02T06:10:51.523,21.84374042167419,g,2022-10-08T04:20:59.973,21.18444069652492,g,2022-11-25T04:42:16.130,22.57018453755665,i,0342m045_4222,34.19764229786698,-4.418698788884186,22.775244284421206,22.81196614727378,nan,nan,nan,NONE,NONE
AT2022aced,A202210230219070m062823,02:19:07.011 -06:28:23.441,34.77921380924286,-6.473178131005139,34.77921380924286,-6.473178131005139,21,2022-10-23T05:52:10.380,22.83381029257567,r,2022-11-16T05:44:47.471,22.740621877430904,i,2022-12-22T02:19:39.653,23.06212177305116,r,0348m065_2907,34.77922659458456,-6.473155621869179,21.75155758857727,21.424283161759377,20.570705085992813,nan,nan,NONE,NONE
AT2022acee,A202211160219171m043002,02:19:17.152 -04:30:02.047,34.82146691067418,-4.500568666908896,34.82145768612252,-4.500547985580983,15,2022-11-16T05:28:39.827,22.58629986571501,r,2022-11-19T04:42:54.929,22.36971270454515,i,2022-11-25T04:42:16.130,22.413907450456833,i,0347m045_8262,34.82144621972052,-4.500589289220957,21.772661432623863,20.999083071947098,20.46072319149971,nan,nan,NONE,NONE
AT2022acef,T202210230226041m043954,02:26:04.103 -04:39:54.680,36.51709701700493,-4.665189102202175,36.51710665914722,-4.665225113401579,21,2022-10-23T05:57:47.992,22.394847535859657,g,2022-10-23T06:06:42.875,21.87930726902064,i,2022-11-25T05:02:06.944,23.00522380638123,i,0364m047_5347,36.51674742225154,-4.66462000221158,21.46988555788994,19.94366765022278,19.073489606380463,nan,nan,NONE,NONE
AT2022aceg,C202210230220373m042406,02:20:37.321 -04:24:06.414,35.15550504184049,-4.40178190631376,35.15548972922539,-4.401855639006676,30,2022-10-23T05:37:47.134,23.037259966080356,g,2022-11-04T02:18:08.387,22.042169960208636,r,2022-11-25T04:38:38.266,23.03256357757236,r,0352m045_2322,35.15566168757157,-4.401898257387076,21.067974269390106,20.20541876554489,19.56976592540741,nan,nan,NONE,NONE
AT2022abmq,T202211040224286m050320,02:24:28.660 -05:03:20.241,36.11941679408578,-5.055622732761742,36.11937299004961,-5.055632249257649,47,2022-11-04T02:40:01.090,22.73605217124353,r,2022-11-19T04:59:25.129,21.47521060064986,r,2022-12-28T01:53:48.929,22.78232849854021,i,0362m050_827,36.11897286346998,-5.056002336416707,23.965526670217514,22.166940979659557,22.006439678370953,nan,nan,NONE,NONE
AT2022acei,A202210230218254m042232,02:18:25.415 -04:22:32.990,34.60589985573524,-4.375830779125658,34.60585685342305,-4.375738776901896,63,2022-10-23T05:35:58.024,22.39466378515015,g,2022-12-13T02:08:02.386,21.7719336967649,r,2022-12-28T01:34:09.344,22.27165198686579,i,0346m042_1874,34.60586407598518,-4.375808748972251,19.88858312368393,19.512150287628174,19.098043143749237,0.5726199746131897,nan,spec,GAMA-DR3
AT2022acej,A202210020219344m065121,02:19:34.434 -06:51:21.815,34.89347881978428,-6.856059806102207,34.89353715262961,-6.85605679001739,67,2022-10-02T06:23:35.247,22.90721092467718,g,2022-11-19T04:46:42.338,21.708529033093605,g,2022-12-28T01:44:58.195,22.227099993510283,i,0348m067_6753,34.89354148143128,-6.856071988555629,20.10049045085907,19.745088815689087,19.019519686698914,0.5901399850845337,nan,spec,GAMA-DR3
AT2022acek,A202210290215267m052401,02:15:26.786 -05:24:01.185,33.86161004582386,-5.400329315099178,33.86159935595001,-5.400335148485421,52,2022-10-29T05:16:04.522,19.99328015824774,g,2022-10-29T05:17:52.890,19.951897748953275,g,2022-12-25T01:28:08.828,20.74520518069458,i,0337m055_7724,33.86155355959779,-5.40033048068659,21.64352774620056,20.72627291083336,19.982856512069702,nan,nan,NONE,NONE
AT2022acel,C202210230223187m040413,02:23:18.776 -04:04:13.534,35.82823362213549,-4.070426323864956,35.82823362213549,-4.070426323864956,36,2022-10-23T05:57:47.992,22.07141334578486,g,2022-10-29T05:41:25.541,21.541994494487927,r,2022-12-13T02:31:24.127,23.00894516675835,r,0359m040_1114,35.82845245608296,-4.070421265326662,19.59863632917404,18.20195436477661,17.45875120162964,0.2874299883842468,nan,spec,GAMA-DR3
AT2022adek,T202212130225579m040410,02:25:57.954 -04:04:10.881,36.49147810543872,-4.069689355256508,36.4915408853,-4.069650996669594,33,2022-12-13T02:26:08.694,22.994774726997335,g,2022-12-22T02:34:08.539,21.749542853837067,i,2022-12-28T01:55:47.197,21.83230788024467,i,0364m040_6872,36.49173596435801,-4.069435915639465,20.81011399626732,19.879196882247925,19.243927597999573,nan,nan,NONE,NONE
AT2022adel,T202212130225578m045242,02:25:57.880 -04:52:42.184,36.49116710991843,-4.878384664605216,36.49119194832359,-4.878371737938791,34,2022-12-13T02:26:08.694,23.124320490135908,g,2022-12-25T01:49:41.880,21.63724275404527,i,2022-12-28T01:55:47.197,21.700202462386383,i,0364m050_4827,36.49130100588502,-4.878029411899058,20.64627915620804,19.985970854759216,19.488289952278137,nan,nan,NONE,NONE
AT2022aden,A202212130216234m045940,02:16:23.448 -04:59:40.734,34.09770324102295,-4.994648562463301,34.09770726353128,-4.994640714057422,36,2022-12-13T02:04:23.857,20.49289714763449,g,2022-12-22T02:05:18.219,20.005533856308137,g,2022-12-28T01:34:09.344,20.465278134582956,i,0342m050_157,34.09773220910249,-4.994578657858986,20.013584047555923,19.582533538341522,19.293541312217712,0.15173999965190887,nan,spec,GAMA-DR3
AT2022adeo,A202212130225103m045830,02:25:10.319 -04:58:30.038,36.29299824523348,-4.975010628126628,36.29302465223215,-4.974991341354819,36,2022-12-13T02:26:08.694,22.591111153238877,g,2022-12-28T01:53:48.929,21.795057518590028,i,2022-12-28T01:55:47.197,21.820073342001006,i,0362m050_7003,36.29304203236899,-4.974986745024784,24.27306041121483,22.977743335068226,22.329109348356724,nan,nan,NONE,NONE
AT2022adep,T202212130229005m045926,02:29:00.594 -04:59:26.798,37.25247502553096,-4.99077745758879,37.25244552730591,-4.99077800452756,36,2022-12-13T02:26:08.694,20.630747289000457,g,2022-12-19T02:17:17.544,19.6818292209232,r,2022-12-28T01:55:47.197,20.204094247920608,i,0372m050_5021,37.25321462095823,-4.990689980640228,17.769330739974976,16.886816024780273,16.285006403923035,0.07576999813318253,nan,spec,GAMA-DR3
AT2022adex,C202212130218247m040808,02:18:24.736 -04:08:08.043,34.60306740477789,-4.135567581134761,34.60307224199346,-4.135538771043282,10,2022-12-13T02:08:02.386,22.908712909224164,r,2022-12-16T01:44:06.567,22.660666179713395,r,2022-12-28T01:28:54.925,22.987950525157252,r,0346m042_1798,34.6032055706,-4.135439062344527,21.239106506109238,20.650331377983093,20.294732749462128,nan,nan,NONE,NONE
AT2022adeq,C202212130226271m045343,02:26:27.161 -04:53:43.641,36.61317271678625,-4.895455984348276,36.61317242066904,-4.895478544563184,22,2022-12-13T02:26:08.694,23.040291069681608,g,2022-12-13T02:31:24.127,22.166434289016024,r,2022-12-28T01:50:33.330,23.123502131213726,r,0367m050_504,36.61317717221502,-4.895572230373968,22.61929949745536,20.83881512284279,19.964092671871185,nan,nan,NONE,NONE
AT2022adeu,T202212130227101m043509,02:27:10.139 -04:35:09.450,36.79224741643976,-4.585958511808523,36.79222535692146,-4.585982065292006,25,2022-12-13T02:26:08.694,22.574641317834942,g,2022-12-19T02:13:48.276,22.309323644367048,g,2022-12-28T01:52:10.313,23.108925382423937,r,0367m045_6946,36.79145544136353,-4.584850678438293,22.425860781222582,22.16892022639513,22.968219630420208,nan,nan,NONE,NONE
AT2022adew,C202212130217432m045054,02:17:43.248 -04:50:54.010,34.43020197873206,-4.848336114258368,34.43009490165268,-4.848294166370821,24,2022-12-13T02:04:23.857,23.62866331381654,g,2022-12-16T01:44:06.567,22.30614817616715,r,2022-12-28T01:34:09.344,22.77884246564533,i,0344m047_2819,34.43021666456882,-4.848206603667646,23.40749740600586,22.440926623530686,22.071620300412178,nan,nan,NONE,NONE
AT2022aefl,T202212130228508m043817,02:28:50.844 -04:38:17.334,37.21185295067739,-4.638148590497918,37.21187792098677,-4.638127590414631,31,2022-12-13T02:26:08.694,22.42636536286885,g,2022-12-25T01:44:29.576,21.14015340188039,r,2022-12-28T01:48:45.932,21.373250910760532,g,0372m047_3710,37.21343664672315,-4.637785302284332,24.21906441450119,23.6579529941082,22.88429133594036,nan,nan,NONE,NONE
AT2022aefm,T202212130221007m072001,02:21:00.787 -07:20:01.313,35.25328278769845,-7.333698317858088,35.25329558849172,-7.333716777067081,32,2022-12-13T02:15:16.121,21.719332874307028,g,2022-12-16T01:55:03.889,21.361544826621017,r,2022-12-28T01:44:58.195,21.63952880534307,i,0353m072_390,35.2530100095054,-7.333641314208638,19.83633726835251,18.615483343601227,17.921222150325775,nan,nan,NONE,NONE
AT2022aefn,C202212130217371m042819,02:17:37.116 -04:28:19.576,34.40465202310017,-4.472104550742211,34.4046097055959,-4.472079590116939,28,2022-12-13T02:04:23.857,22.832263921296786,g,2022-12-13T02:08:02.386,22.096766920340634,r,2022-12-28T01:34:09.344,22.535039237035143,i,0344m045_2211,34.40456492844088,-4.472054460418369,24.410925656557083,23.311989456415176,22.94420711696148,nan,nan,NONE,NONE
AT2022aefo,T202212130222467m060749,02:22:46.763 -06:07:49.971,35.69484638318351,-6.130547764084541,35.69482159040749,-6.130544129033764,30,2022-12-13T02:15:16.121,22.46148234874878,g,2022-12-13T02:20:31.182,22.168666472483437,r,2022-12-28T01:44:58.195,23.091426350317235,i,0355m062_8958,35.69508382514997,-6.129391171262902,24.384226351976395,24.1119322180748,23.338148295879364,nan,nan,NONE,NONE
AT2022aefp,C202212220227174m043736,02:27:17.455 -04:37:36.429,36.82273002865479,-4.626785954867675,36.82272641207203,-4.62675846441038,16,2022-12-22T02:25:16.234,22.319300890507364,g,2022-12-25T01:42:42.574,21.985752126510853,g,2022-12-28T01:55:47.197,22.280144272115116,i,0367m047_7721,36.82260254517978,-4.62689330133477,24.080049097537994,23.325883224606514,23.003904819488525,nan,nan,NONE,NONE
AT2022aefq,T202212160225222m062643,02:25:22.210 -06:26:43.238,36.34254220190079,-6.445344157120646,36.34260378311369,-6.445371901650396,25,2022-12-16T01:53:25.235,23.395464333954344,r,2022-12-28T01:41:21.547,20.894404753557524,r,2022-12-28T01:44:58.195,21.07823564972312,i,0363m065_5109,36.34259141021662,-6.445724246083815,24.841488152742386,23.491915613412857,23.394502326846123,nan,nan,NONE,NONE
AT2022aefr,T202212130219303m050103,02:19:30.316 -05:01:03.452,34.87631919961686,-5.017625780076576,34.87631070197537,-5.017578292092908,24,2022-12-13T02:04:23.857,23.16816466803945,g,2022-12-16T01:44:06.567,22.463621374737166,r,2022-12-28T01:30:33.293,22.958694372215316,r,0349m050_1149,34.87849115500699,-5.018128025284149,23.170194625854492,21.94274891167879,21.255763471126556,nan,nan,NONE,NONE
